'Races_meta',,,,,
'race_id','Type','Subtype','Modifier','Modified','Notes'
'VARCHAR(20) REFERENCES Races(unique_id) ON UPDATE CASCADE ON DELETE CASCADE','VARCHAR(20)','VARCHAR(50)','VARCHAR(20)','VARCHAR(20)','VARCHAR(50)'
'display_col',,,,,
'dwarf','ability','attribute','+1','Constitution',
'dwarf','ability','attribute','-1','Charisma','Doesn''t apply to other Dwarves.'
'dwarf','ability','combat','+1','To Hit','Vs Goblins, half-Orcs, Hobgoblins, and Orcs'
'dwarf','ability','combat','-4','To Hit','By Giants, Ogres, Ogre Mages, Titans and Trolls.'
'dwarf','ability','save','-Con*2/7','Aimed Magic Items/Spells/Poison',
'dwarf','ability','starting languages',,'Dwarfish, Gnomish, Goblin, Kobold, Orcish, Common and the alignment tongue.','Dwarves can only learn up to two additional languages.'
'dwarf','ability','infravision','60''',,
'dwarf','ability','misc','75%','Detect the existence of slopes or grades',
'dwarf','ability','misc','75%','Detect the existence of new construction',
'dwarf','ability','misc','66%','Detect sliding or shifting rooms or walls',
'dwarf','ability','misc','50%','Detect traps involving stonework',
'dwarf','ability','misc','50%','Determine depth underground',
'dwarf','ability','misc','+1','Charisma','Vs Dwarves'
'dwarf','class','multi-class restrictions',,,'The more restrictive of any two class requirements apply to multi-classed Dwarfish characters for the use of class abilities.'
'dwarf','class','permitted class options',,'assassin, cleric, fighter, thief, fighter/thief',
'dwarf','class','starting age','250+2d20','Cleric',
'dwarf','class','starting age','40+5d4','Fighter',
'dwarf','class','starting age','75+3d6','Thief',
'dwarf','class','level limit','9','Assassin',
'dwarf','class','level limit','8','Cleric',
'dwarf','class','level limit','9 (Str 18), 8 (Str 17), 7 (Str 16 or less)','Fighter',
'dwarf','class','level limit','U','Thief',
'dwarf','height table','male','01-10','3 ft 9 in + 1d4 in','Small'
'dwarf','height table','male','11-25','4 ft 1 in + 1d4 in','Slim'
'dwarf','height table','male','26-55','4 ft 2 in + 1d4 in','Normal'
'dwarf','height table','male','56-85','4 ft 2 in + 1d4 in','Stout'
'dwarf','height table','male','86-95','4 ft 6 in + 1d4 in','Tall'
'dwarf','height table','male','96-100','4 ft 9 in + 1d4 in','Outsize'
'dwarf','height table','female','01-15','3 ft 7 in + 1d4 in','Petite'
'dwarf','height table','female','16-30','3 ft 11 in + 1d4 in','Svelte'
'dwarf','height table','female','31-65','4 ft 0 in + 1d4 in','Normal'
'dwarf','height table','female','66-85','4 ft 0 in + 1d4 in','Curvy'
'dwarf','height table','female','86-95','4 ft 4 in + 1d4 in','Tall'
'dwarf','height table','female','96-100','4 ft 7 in + 1d4 in','Outsize'
'dwarf','weight table','male','01-10','130 lbs + 1d20 lbs','Small'
'dwarf','weight table','male','11-25','140 lbs + 1d20 lbs','Slim'
'dwarf','weight table','male','26-55','150 lbs + 1d20 lbs','Normal'
'dwarf','weight table','male','56-85','160 lbs + 1d20 lbs','Stout'
'dwarf','weight table','male','86-95','160 lbs + 1d20 lbs','Tall'
'dwarf','weight table','male','96-100','170 lbs + 1d20 lbs','Outsize'
'dwarf','weight table','female','01-15','100 lbs + 1d20 lbs','Petite'
'dwarf','weight table','female','16-30','110 lbs + 1d20 lbs','Svelte'
'dwarf','weight table','female','31-65','120 lbs + 1d20 lbs','Normal'
'dwarf','weight table','female','66-85','130 lbs + 1d20 lbs','Curvy'
'dwarf','weight table','female','86-95','130 lbs + 1d20 lbs','Tall'
'dwarf','weight table','female','96-100','140 lbs + 1d20 lbs','Outsize'
